time,deg,depth,mag_mw,detection
2017-08-08T08:43:17.440Z,7.5747861726,12.37,3.08,0
2017-08-08T13:19:49.540Z,87.2161712338,9,6.5,1
2017-08-08T21:46:50.350Z,39.0609815813,34.87,5.45,1
2017-08-08T23:27:53.960Z,83.2596380966,25.87,6.3,1
2017-08-08T23:39:18.580Z,83.2633398437,10,5.45,0
2017-08-08T23:44:31.310Z,83.2602749218,10,5.535,0
2017-08-09T05:40:42.100Z,28.5537269144,47.07,5.535,1
2017-08-09T13:49:28.440Z,28.4786099701,23.4,5.025,0
2017-08-10T03:44:10.276Z,8.2830213917,21.3,4.42,0
2017-08-10T07:07:51.120Z,48.4169141323,68.7,5.28,0
2017-08-10T09:51:51.540Z,121.1946645403,10,5.535,0
2017-08-10T14:09:43.540Z,6.9801783975,10,3.04,0
2017-08-10T22:28:09.450Z,25.0101796442,37.64,5.025,0
2017-08-11T05:28:25.660Z,95.2859636996,168.15,6.2,1
2017-08-11T06:18:17.705Z,19.5569494466,94,5.02,1
2017-08-11T21:45:09.280Z,79.180155081,41,5.6,0
2017-08-12T03:00:10.260Z,12.054502515,9.18,3.95,0
2017-08-12T03:39:49.00Z,0.2563778291,0,1.14,1
2017-08-12T10:14:33.090Z,130.4606531345,10,5.535,0
2017-08-12T12:54:12.700Z,91.8137112157,6.64,5.8,0
2017-08-12T14:41:21.160Z,18.2201749003,10,5.025,1
2017-08-12T18:09:35.840Z,89.3461425424,34.86,5.535,0
2017-08-12T18:23:43.920Z,76.7215462363,20.28,5.3,0
2017-08-13T03:08:11.210Z,120.5906973949,35.9,6.4,1
2017-08-13T17:12:20.030Z,2.1849693396,24.49,2.39,0
2017-08-14T00:29:04.320Z,57.6737206863,10,5.365,0
2017-08-14T05:35:09.260Z,104.9188324735,10,5.705,0
2017-08-14T07:20:59.940Z,6.1505857697,8.41,3.08,0
2017-08-14T12:01:09.290Z,7.3706967988,10,3.24,0
2017-08-14T21:57:04.970Z,0.8254911266,12.37,2.06,1
2017-08-15T01:43:25.692Z,19.8701857276,22.4,3.92,0
2017-08-15T02:09:01.700Z,6.144156383,2.22,2.52,0
2017-08-16T02:27:31.360Z,59.8472472873,10,5.2,0
2017-08-16T04:09:04.490Z,120.2317437459,30.35,5.62,0
2017-08-16T12:51:25.610Z,79.5505697231,196.51,5.7,1
2017-08-16T21:09:33.400Z,8.6530856631,10,4.345,0
2017-08-17T21:12:08.620Z,1.7041618258,-1.66,2.23,0
2017-08-18T02:59:21.830Z,103.2825631345,10,6.6,0
2017-08-18T05:15:15.050Z,37.5205556908,27.11,5.365,1
2017-08-19T02:00:52.040Z,83.6515368046,538.62,6.4,1
2017-08-19T07:36:39.420Z,21.0675140238,9.2,4.3,0
2017-08-19T12:51:12.540Z,1.5983806587,26.4,2.66,1
2017-08-20T07:12:21.570Z,7.5206315805,11.28,3.72,0
2017-08-20T17:42:15.310Z,75.8758146597,71.07,5.365,0
2017-08-20T18:01:21.920Z,6.1567351523,1.99,2.89,0
2017-08-20T23:29:02.370Z,43.909540983,59.36,5.365,1
2017-08-21T10:43:33.868Z,19.051011746,53.5,4.42,0
2017-08-21T13:59:32.390Z,42.9800204915,10,5.3,1
2017-08-21T21:12:23.260Z,77.9161850127,10,5.62,0
2017-08-22T09:56:29.980Z,2.3277439749,5.3,2.54,1
2017-08-22T19:51:59.450Z,14.5430238767,6.14,4.07,0
2017-08-26T08:12:51.610Z,55.1846969618,10,5.2,0
2017-08-27T00:02:22.190Z,120.5925063355,8.6,5.2,0
2017-08-27T04:17:50.980Z,90.3658963528,8.05,6.4,1
2017-08-27T13:52:19.370Z,90.3736017645,10,5.365,0
2017-08-27T21:11:39.170Z,1.6482197099,-1.5,2.08,1
2017-08-27T22:32:36.750Z,6.7811616969,10,4.3,1
2017-08-28T14:21:27.720Z,0.8000087706,82.97,1.71,0
2017-08-29T16:47:28.250Z,133.6681065453,35,5.535,0
2017-08-29T22:08:35.250Z,90.7380833093,35.21,5.4,0
2017-08-30T08:07:02.690Z,40.7007069419,10,5.45,0
2017-08-30T14:19:14.690Z,62.6857319587,10,5.6,0
2017-08-30T22:09:00.710Z,78.4976988849,9.35,5.45,0
2017-08-31T01:30:27.560Z,102.3599914227,10,5.45,0
2017-08-31T17:46:02.874Z,19.6946351421,62.5,5.62,1
2017-08-31T22:57:39.150Z,104.0168953003,47.45,5.4,0
2017-09-01T07:42:44.020Z,50.3542297258,19.13,5.3,1
2017-09-01T11:07:37.140Z,49.7552793732,10,5.7,1
2017-09-02T03:32:22.140Z,120.674337637,80.02,5.365,0
2017-09-02T19:06:48.290Z,106.3346273285,70.91,5.365,0
2017-09-02T23:00:01.070Z,79.4984136408,10,5.705,1
2017-09-02T23:56:52.140Z,10.7371747196,6.51,5.3,1
2017-09-03T00:39:48.400Z,10.7155946621,8.59,4.515,1
2017-09-03T03:21:44.230Z,47.5524289912,18.87,5.365,1
2017-09-03T03:30:01.940Z,69.1950031073,0,6.385,1
2017-09-04T08:07:35.380Z,133.6863258392,35,6,1
2017-09-04T21:05:03.290Z,19.1744238337,54.2,4.22,0
2017-09-05T02:50:00.680Z,89.4335261684,172.92,5.5,0
2017-09-05T16:08:38.430Z,1.7028159169,4.87,3.9,1
2017-09-06T00:10:55.760Z,112.1717920021,86.75,5.62,0
2017-09-06T08:26:30.990Z,10.8627403933,4.3,4.1,0
2017-09-07T12:13:38.190Z,10.7686265821,5.58,4.1,0
2017-09-08T02:12:45.080Z,1.0942202649,3.29,1.09,0
2017-09-08T04:49:21.410Z,42.0826985874,69.65,8.1,1
2017-09-08T08:34:36.370Z,41.749209508,68.11,5.535,1
2017-09-08T09:49:49.490Z,0.8110016286,23.48,1.95,1
2017-09-09T04:54:54.430Z,41.9526334925,47.33,5.4,1
2017-09-09T08:23:04.740Z,10.7910826787,7.37,4.1,0
2017-09-09T10:05:18.320Z,102.1479029717,10,5.62,0
2017-09-09T12:03:41.070Z,88.0373161969,228.4,5.2,0
2017-09-09T15:30:11.350Z,40.8989642829,59.46,5.535,0
2017-09-09T17:08:33.320Z,1.6812029939,-0.06,1.9,0
2017-09-10T00:42:39.210Z,6.6448348616,10,3.24,1
2017-09-10T00:46:29.660Z,6.9156503816,10,3.34,1
2017-09-10T03:07:26.100Z,41.4352285432,53.01,5.7,1
2017-09-10T08:34:41.960Z,18.2150085991,5,3.92,0
2017-09-10T08:39:38.600Z,41.0994763545,55.08,5.45,1
2017-09-10T08:44:24.460Z,61.6675564939,42.87,5.4,1
2017-09-10T09:47:10.570Z,10.7917903604,9.83,5,1
2017-09-10T10:14:19.290Z,40.9801807392,62.07,5.195,0
2017-09-10T11:12:39.050Z,10.7318673815,4.56,4.7,1
2017-09-10T12:00:29.750Z,39.3095056513,21.45,4.855,0
2017-09-10T12:19:11.750Z,10.7874338564,10.02,3.9,0
2017-09-10T13:40:08.310Z,39.5057706051,10,4.94,0
2017-09-11T00:32:22.200Z,41.6687666013,58.95,5.195,0
2017-09-11T09:36:31.560Z,10.7910843632,2.24,4.3,1
2017-09-11T12:34:30.220Z,10.788710987,9.98,4.1,0
2017-09-11T13:26:35.560Z,10.7669306389,6.62,4.7,1
2017-09-12T01:00:17.830Z,41.8132770356,44.38,5.11,0
